,song_uri,key,mode,valence,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,duration_ms
112,3fcGGP62sllcNEhuFJVYeC,2,1,0.723,0.657,0.0088,0.608,3.45e-06,0.103,-13.565,0.0287,106.862,4,189293
113,2IcvNE6okbSq18lajo3SYE,3,0,0.691,0.67,0.222,0.577,0.0,0.142,-7.706,0.0292,91.988,4,291667
114,2fXIpPInm70t1vMRm82Kar,1,1,0.6,0.727,0.0439,0.988,0.0013,0.129,-4.577,0.0426,103.179,4,274893
115,5hWdgGVcfTeLPAiHM6EZG9,1,1,0.903,0.711,0.00189,0.951,0.366,0.0229,-8.406,0.0537,121.656,4,269307
116,6BWRvw630R8z2vNMok6quI,1,1,0.456,0.705,0.00244,0.821,0.684,0.0572,-7.085,0.128,99.642,4,294267
117,0cELvuwJW1acISUHYB6suj,9,0,0.939,0.74,0.0409,0.752,0.00125,0.0233,-7.008,0.0359,114.851,4,248093
118,2q9xZPaOxWr3n250HpKExl,2,1,0.615,0.651,0.0862,0.74,0.0,0.142,-6.244,0.0272,102.233,4,241733
119,4WmCoqweV6nXrSogoAo12a,6,0,0.807,0.686,0.497,0.945,8.24e-05,0.0808,-6.531,0.0371,110.389,4,236893
120,0otWaD7P1jqYsb0qSHNo6J,1,1,0.643,0.739,0.0545,0.675,0.0112,0.0632,-9.194,0.0444,100.054,4,284345
121,1hFtJ5rV3aAm58ErijHdFO,7,1,0.275,0.641,0.197,0.504,9.62e-05,0.288,-12.486,0.031,130.786,4,288827
122,5KNbCF0FpIWuPE8x6bhGgw,1,0,0.536,0.688,0.319,0.679,0.000301,0.29,-11.05,0.0259,101.872,4,291867
123,55lX3vm1G35mUpawXHK5Te,2,1,0.808,0.648,0.288,0.89,0.0,0.119,-3.834,0.0429,126.956,4,213733
124,3lRgzwd3g1TewI4zjgbh9V,1,1,0.707,0.683,0.137,0.661,0.557,0.0772,-12.823,0.0459,96.956,4,281333
125,6XUR0ocrwFB6mWJOIXxISi,10,0,0.319,0.653,0.00101,0.753,0.125,0.28,-10.009,0.0334,118.008,4,242585
126,02KLiEs31kxh1krQJezlTL,11,0,0.878,0.63,0.0434,0.595,0.0363,0.0902,-14.986,0.038,113.561,4,317933
127,5nNwxsg6vS3pKcLNcAvRWP,11,0,0.663,0.654,0.0746,0.749,0.0,0.114,-9.221,0.0537,93.847,4,237373
128,1RYSbUnasW12klBZ9lxWIM,9,0,0.82,0.672,0.0767,0.841,0.0,0.135,-5.992,0.0285,125.437,4,267733
129,5x9MJycRilBm2SNavzt9yF,4,1,0.475,0.643,0.65,0.43,0.0,0.417,-11.694,0.0447,131.846,4,242627
130,3aZPzF7Sr0zy3K0EkKyEzk,6,1,0.926,0.663,0.277,0.748,0.003,0.312,-5.83,0.0462,159.719,4,242640
131,0whwYFXgGNg14O8hdHguzV,6,1,0.809,0.449,0.0168,0.931,0.261,0.324,-8.993,0.0648,113.808,4,340627
132,0JrdoQMf2TZetkE6aM0sUx,10,1,0.558,0.531,0.665,0.762,1.08e-06,0.0933,-5.668,0.0302,74.014,4,272360
133,1Ckd4d6vkhvOp5HlAc5Ie2,7,1,0.444,0.614,0.00328,0.752,0.0,0.379,-6.271,0.0652,95.018,4,237093
134,55G6KjatHN4CkiT47Omlpz,0,1,0.239,0.465,0.336,0.693,0.0,0.0973,-6.265,0.0368,75.858,4,310973
135,5m8xVZhlM7E2mL9uuxZpF6,1,1,0.896,0.754,0.0911,0.82,1.62e-06,0.0805,-8.622,0.062,119.835,4,272893
136,0Eb2UmP2jtWwEJigX9akO0,6,1,0.698,0.702,0.055,0.852,0.000689,0.252,-8.391,0.0774,110.61,4,251867
137,2kDH08boXJyhKMl5hnZbrE,1,1,0.126,0.472,0.000204,0.48,0.00275,0.0914,-11.893,0.0308,123.023,4,286573
138,5TehPyJrU16Tw6XK0p97Rd,0,1,0.319,0.609,0.195,0.668,0.0,0.219,-5.738,0.026,105.419,4,230680
139,10JIQ4VbdRMlqvSJGvi7El,6,0,0.971,0.74,0.0303,0.738,0.00406,0.0324,-9.849,0.0399,112.589,4,306533
140,1cItNpcJskTVETprljc7HV,6,1,0.674,0.4,0.163,0.747,0.0,0.0774,-9.438,0.045,203.396,4,219289
141,0FcSJxqqTas3wiT7Nd5EXR,0,1,0.92,0.513,0.0152,0.873,0.000373,0.071,-9.231,0.0506,184.497,4,402267
142,2lxfnTyWxW381PXDm9Mg77,4,1,0.71,0.657,0.171,0.76,0.00551,0.224,-8.613,0.0298,107.872,4,274267
143,44MgXak5EQFmEj2hGL8vnw,2,1,0.844,0.719,0.0064,0.901,0.0,0.159,-4.828,0.0494,125.079,4,282933
144,0fLgxhfATkNRJGca4rCu9X,1,1,0.462,0.346,0.1,0.594,0.0,0.122,-8.662,0.0383,95.063,4,255707
145,5EZJ2mJ2KTNs01n0cBR6lC,1,1,0.969,0.81,0.118,0.93,0.000102,0.357,-7.464,0.0536,113.334,4,321907
146,6oNvmplQGUkmAh441Teows,5,1,0.726,0.66,0.181,0.711,7.47e-06,0.0647,-10.211,0.0334,109.328,4,227640
147,7f9sC9fvtjYSZYOLSmKJlq,6,0,0.725,0.86,0.0204,0.439,0.0147,0.0465,-12.264,0.0495,99.144,4,228307
148,18qgd61768n3awNU4cnr9R,8,1,0.68,0.713,0.0369,0.792,0.0,0.0309,-9.788,0.158,111.86,4,261957
149,6Ceejf3zBXvAhIY9DbP1Pr,1,1,0.954,0.795,0.0631,0.64,2.13e-06,0.0692,-13.478,0.0294,102.633,4,227573
150,6ILvjEWvikRHgsoKgfFc7C,3,1,0.571,0.494,0.00245,0.914,1.43e-06,0.0528,-2.498,0.055,123.984,4,231827
151,1Ezs8eYxuZjhlgyoI1Bo76,4,0,0.573,0.851,0.000928,0.514,3.58e-06,0.381,-15.279,0.165,100.425,4,285800
152,6WCJyL4KetAqEZYhRq5S3f,7,1,0.565,0.609,0.000274,0.771,0.05,0.038,-10.663,0.0428,118.352,4,241533
153,6O83X8zjAETDfBkHYvpWcA,9,1,0.508,0.537,0.0256,0.88,0.0,0.467,-6.873,0.0404,113.045,4,269133
154,1CeGBbkJeKPojRmlo2gIwq,8,1,0.638,0.625,0.357,0.644,0.0,0.102,-8.801,0.0287,147.435,4,301640
155,4EO7E6OTT3FvYt8ORWLuSH,10,0,0.711,0.626,0.000978,0.876,0.0868,0.963,-11.31,0.0565,119.4,4,203246
156,5Ex5UHv1C0nCDkZDTJRWfW,9,1,0.656,0.489,0.0232,0.878,0.0,0.35,-5.071,0.0474,170.143,4,257120
157,1o0ixPgBmT2O6g8tAl1aAc,7,1,0.54,0.607,0.162,0.626,0.0677,0.114,-10.168,0.0358,95.701,4,260400
158,2vAbKDdqA6cEBHU9zQiA8g,1,0,0.652,0.608,0.00342,0.665,0.0478,0.221,-10.347,0.341,202.198,4,242267
159,3zX2ZUPo0M8EULGmYJ87C6,1,0,0.188,0.57,0.383,0.385,0.0012,0.0924,-12.027,0.0251,99.86,4,347867
