,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,mood
71,The Way You Felt,The Way You Felt,Alec Benjamin,2021-04-30,182810,69,0.872,0.715,0.872,0.52,0.0,0.0982,-6.928,0.0618,131.918,4,1
72,Crying Over You,Crying Over You,The Band CAMINO,2020-07-31,178949,64,0.463,0.679,0.463,0.411,0.0,0.0453,-8.25,0.0414,147.3,4,1
73,Keep Your Head Up Princess,Keep Your Head Up Princess,Anson Seabra,2021-10-12,198220,67,0.689,0.97,0.689,0.143,0.0,0.109,-17.374,0.264,85.398,4,1
74,Make It To Me,In The Lonely Hour (Drowning Shadows Edition),Sam Smith,2015-11-06,162732,78,0.456,0.63,0.456,0.379,3.1e-06,0.0983,-8.573,0.0685,149.967,4,1
75,all i need (the distance song),"As Written, Vol. 1",Avery Lynch,2021-02-19,244390,25,0.651,0.976,0.651,0.119,0.0,0.163,-16.58,0.04,97.061,4,1
76,One More I Love You,One More I Love You,Alex Warren,2021-06-11,216935,68,0.631,0.768,0.631,0.381,0.00218,0.261,-8.232,0.0386,92.951,4,1
77,"I miss you, I’m sorry",minor,Gracie Abrams,2020-07-14,167538,72,0.445,0.731,0.445,0.455,1.47e-06,0.124,-6.405,0.0575,109.885,5,1
78,Closure,Closure,Hayd,2021-04-01,196277,47,0.696,0.967,0.696,0.106,0.0,0.292,-16.185,0.0458,124.168,4,1
79,Best Days,In The Meantime,Alessia Cara,2021-09-24,211837,69,0.518,0.875,0.518,0.318,4.21e-06,0.13,-11.727,0.0749,77.594,4,1
80,Goodnight,Three. Two. One.,Lennon Stella,2020-04-24,176746,55,0.484,0.603,0.484,0.346,0.000181,0.204,-10.441,0.0371,79.972,3,1
81,Dumb Love,Dumb Love,Mimi Webb,2021-06-11,207068,76,0.569,0.0296,0.569,0.422,0.0,0.0613,-5.856,0.0302,76.96,4,1
82,Talking to the Moon,Doo-Wops & Hooligans,Bruno Mars,2010-10-05,217866,83,0.523,0.512,0.523,0.606,0.0,0.106,-4.754,0.0301,145.837,4,1
83,Broken,Broken,Jonah Kagen,2021-01-29,195401,5,0.504,0.518,0.504,0.352,0.0,0.105,-11.99,0.0615,83.259,4,1
84,Cry with you,Cry with you,Jeremy Zucker,2021-08-20,217044,65,0.51,0.321,0.51,0.307,1.5e-06,0.174,-9.921,0.101,159.794,3,1
85,A Little Bit Yours,A Little Bit Yours,JP Saxe,2020-09-02,225680,68,0.598,0.735,0.598,0.295,0.0,0.107,-8.553,0.0276,87.025,4,1
