,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,mood
100,Shivers,Shivers,Ed Sheeran,2021-09-10,207853,67,0.788,0.281,0.788,0.859,0.0,0.0424,-2.724,0.0856,141.02,4,2
101,Heartbreak Anthem (with David Guetta & Little Mix),Heartbreak Anthem (with David Guetta & Little Mix),Galantis,2021-05-20,183725,84,0.595,0.216,0.595,0.784,0.0,0.0608,-4.878,0.102,124.111,4,2
102,Summer of Love (Shawn Mendes & Tainy),Summer Of Love,Shawn Mendes,2021-08-20,184104,85,0.776,0.0297,0.776,0.808,0.000127,0.103,-4.501,0.117,123.988,4,2
103,Lasting Lover,Lasting Lover,Sigala,2020-09-04,218358,77,0.676,0.197,0.676,0.786,0.0,0.0943,-4.529,0.0478,125.983,4,2
104,Fly Away,Fly Away,Tones And I,2020-11-13,178156,74,0.806,0.217,0.806,0.513,0.0,0.217,-6.208,0.0685,124.988,4,2
105,Anyone,Anyone,Justin Bieber,2021-01-01,190779,79,0.686,0.181,0.686,0.538,3.13e-06,0.113,-8.026,0.0345,115.884,4,2
106,Pick Me Up,Pick Me Up,Sam Feldt,2021-05-28,174100,66,0.688,0.0971,0.688,0.662,1.34e-06,0.172,-5.57,0.0441,115.106,4,2
107,Run,Run,OneRepublic,2021-05-05,169010,83,0.682,0.326,0.682,0.72,0.0,0.148,-8.173,0.0381,117.003,4,2
108,At Least I Had Fun,At Least I Had Fun,Martin Jensen,2020-08-14,170613,69,0.794,0.198,0.794,0.706,0.0,0.0536,-6.066,0.0382,116.032,4,2
109,Good Vibes,Good Vibes,HRVY,2020-09-04,170280,70,0.558,0.274,0.558,0.877,0.0,0.162,-3.392,0.145,99.988,4,2
110,Wonder,Wonder,Shawn Mendes,2020-10-02,172692,76,0.333,0.131,0.333,0.637,1.8e-05,0.149,-4.904,0.0581,139.898,4,2
111,You for Me,You for Me,Sigala,2021-07-02,175435,77,0.733,0.0481,0.733,0.886,1.81e-06,0.191,-1.856,0.0426,126.031,4,2
112,Love You Better,Love You Better,John De Sohn,2019-11-15,170893,67,0.733,0.0931,0.733,0.786,0.0013,0.1,-7.494,0.0422,102.999,4,2
113,Cloudy Day,Cloudy Day,Tones And I,2021-06-10,185303,70,0.705,0.0643,0.705,0.776,2.81e-06,0.0246,-6.096,0.0445,116.011,4,2
114,The Best Days (feat. Tabitha),The Best Days (feat. Tabitha),Sam Feldt,2020-11-20,161944,67,0.667,0.0863,0.667,0.827,0.0,0.0565,-5.631,0.0368,107.95,4,2
115,Friends,Glorious,Ella Henderson,2019-11-08,178298,67,0.747,0.198,0.747,0.537,1.26e-05,0.18,-5.76,0.0413,97.056,4,2
116,Slow Dance (feat. Ava Max) - Sam Feldt Remix,Slow Dance (feat. Ava Max) [Sam Feldt Remix],AJ Mitchell,2019-10-25,193548,67,0.732,0.114,0.732,0.85,2.02e-06,0.0388,-5.999,0.0444,124.024,4,2
117,Watermelon Sugar,Watermelon Sugar,Harry Styles,2019-11-17,174000,72,0.548,0.122,0.548,0.816,0.0,0.335,-4.209,0.0465,95.39,4,2
118,Remember,Remember,Becky Hill,2021-06-18,160766,82,0.612,0.041,0.612,0.862,0.0,0.0907,-2.903,0.037,123.849,4,2
119,Lifestyle (feat. Adam Levine),Lifestyle (feat. Adam Levine),Jason Derulo,2021-01-21,153865,76,0.749,0.0209,0.749,0.674,0.0,0.169,-5.128,0.0366,123.055,4,2
120,Love Me Now (feat. Zoe Wees),Love Me Now (feat. Zoe Wees),Kygo,2021-08-13,195880,79,0.662,0.163,0.662,0.489,0.0,0.172,-7.067,0.0525,102.04,4,2
121,Smile,Smile,Benjamin Ingrosso,2021-05-21,192920,64,0.592,0.000618,0.592,0.749,0.00122,0.166,-6.165,0.0295,127.038,4,2
122,Dancing in the Moonlight (feat. NEIMY),Dancing in the Moonlight (feat. NEIMY),Jubël,2018-06-22,164009,62,0.659,0.27,0.659,0.617,0.0,0.187,-5.862,0.0649,119.858,4,2
123,I Found You,I Found You,Cash Cash,2020-02-28,167307,68,0.646,0.0714,0.646,0.761,0.0,0.222,-2.557,0.0385,129.916,4,2
124,Remember This,Remember This,Jonas Brothers,2021-06-19,178221,72,0.669,0.217,0.669,0.629,0.0,0.366,-5.018,0.0803,110.865,4,2
125,Cover Me In Sunshine,Cover Me In Sunshine,P!nk,2021-02-12,141050,80,0.476,0.0599,0.476,0.594,0.0,0.0785,-6.879,0.135,159.702,4,2
126,Take You Dancing,Take You Dancing,Jason Derulo,2020-07-22,190306,82,0.789,0.0332,0.789,0.711,0.0,0.0876,-4.248,0.041,112.985,4,2
127,Dive,Dive,Hot Shade,2019-12-20,164490,54,0.654,0.00515,0.654,0.787,0.0,0.144,-4.999,0.0502,123.978,4,2
128,Dumb,Dumb,Jubël,2021-05-14,192847,65,0.728,0.194,0.728,0.636,2.57e-05,0.515,-5.824,0.0366,124.023,4,2
129,Holy (feat. Chance The Rapper),Holy,Justin Bieber,2020-09-18,212093,80,0.673,0.196,0.673,0.704,0.0,0.0898,-8.056,0.36,86.919,4,2
130,If You Really Love Me (How Will I Know),If You Really Love Me (How Will I Know),David Guetta,2021-07-02,184390,80,0.692,0.0512,0.692,0.883,0.0,0.228,-4.698,0.0582,122.984,4,2
131,I Don't Know Why,I Don't Know Why,NOTD,2020-05-08,207667,72,0.499,0.124,0.499,0.898,7.2e-06,0.0832,-4.181,0.124,120.04,4,2
132,Get To Know You,Get To Know You,Samantha Harvey,2019-11-08,201666,62,0.761,0.0783,0.761,0.695,0.0,0.14,-4.048,0.0886,118.004,4,2
133,Missing Piece,Missing Piece,Vance Joy,2021-05-19,217408,78,0.628,0.0155,0.628,0.877,5.97e-06,0.113,-4.205,0.046,101.992,4,2
134,Tangerine Skies,Tangerine Skies,Declan J Donovan,2020-04-24,192000,58,0.756,0.0578,0.756,0.815,2e-05,0.387,-5.122,0.046,120.002,4,2
135,How Will I Know,How Will I Know,Whitney Houston,2021-09-24,213435,73,0.761,0.178,0.761,0.739,3.35e-06,0.23,-3.591,0.0369,118.997,4,2
136,Higher Power,Higher Power,Coldplay,2021-05-07,211294,79,0.507,0.00711,0.507,0.828,2.44e-05,0.261,-6.023,0.0449,178.032,4,2
137,My Head & My Heart,Heaven & Hell,Ava Max,2020-09-18,174760,81,0.614,0.0697,0.614,0.934,0.0,0.121,-3.709,0.07,116.001,4,2
138,You (with Marshmello & Vance Joy),You (with Marshmello & Vance Joy),benny blanco,2021-01-29,169632,71,0.668,0.0493,0.668,0.563,0.0,0.119,-6.433,0.0522,103.116,4,2
139,Weekend Vibe,Weekend Vibe,Jubël,2021-01-15,166909,67,0.688,0.00912,0.688,0.742,1.37e-06,0.186,-6.363,0.0496,110.026,4,2
140,Drown (feat. Clinton Kane),Drown (feat. Clinton Kane),Martin Garrix,2020-02-27,174062,73,0.573,0.212,0.573,0.739,0.0,0.175,-5.455,0.0581,120.077,4,2
141,Never Love You Again (with Little Big Town & Bryn Christopher),Never Love You Again (with Little Big Town & Bryn Christopher),Cheat Codes,2021-07-16,191329,67,0.645,0.0343,0.645,0.786,3.57e-06,0.139,-5.337,0.0554,124.962,4,2
